"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"01:51:42.8176174","LightingService.exe","6180","Process Profiling","","SUCCESS","User Time: 9.1250000 seconds, Kernel Time: 10.8281250 seconds, Private Bytes: 31420416, Working Set: 52363264"
"01:51:43.8197304","LightingService.exe","6180","Process Profiling","","SUCCESS","User Time: 9.1250000 seconds, Kernel Time: 10.8281250 seconds, Private Bytes: 31420416, Working Set: 52363264"
"01:51:44.8202942","LightingService.exe","6180","Process Profiling","","SUCCESS","User Time: 9.1250000 seconds, Kernel Time: 10.8281250 seconds, Private Bytes: 31420416, Working Set: 52363264"
"01:51:45.8136969","LightingService.exe","6180","Process Profiling","","SUCCESS","User Time: 9.1250000 seconds, Kernel Time: 10.8281250 seconds, Private Bytes: 31420416, Working Set: 52363264"
"01:51:46.8183114","LightingService.exe","6180","Process Profiling","","SUCCESS","User Time: 9.1250000 seconds, Kernel Time: 10.8281250 seconds, Private Bytes: 31420416, Working Set: 52363264"
"01:51:47.8115924","LightingService.exe","6180","Process Profiling","","SUCCESS","User Time: 9.1250000 seconds, Kernel Time: 10.8281250 seconds, Private Bytes: 31420416, Working Set: 52363264"
"01:51:48.8088776","LightingService.exe","6180","Process Profiling","","SUCCESS","User Time: 9.1250000 seconds, Kernel Time: 10.8281250 seconds, Private Bytes: 31420416, Working Set: 52363264"
"01:51:49.8186046","LightingService.exe","6180","Process Profiling","","SUCCESS","User Time: 9.1250000 seconds, Kernel Time: 10.8281250 seconds, Private Bytes: 31420416, Working Set: 52363264"
"01:51:50.8074001","LightingService.exe","6180","Process Profiling","","SUCCESS","User Time: 9.1250000 seconds, Kernel Time: 10.8281250 seconds, Private Bytes: 31420416, Working Set: 52363264"
"01:51:51.8082965","LightingService.exe","6180","Process Profiling","","SUCCESS","User Time: 9.1250000 seconds, Kernel Time: 10.8281250 seconds, Private Bytes: 31420416, Working Set: 52363264"
"01:51:52.8202327","LightingService.exe","6180","Process Profiling","","SUCCESS","User Time: 9.1250000 seconds, Kernel Time: 10.8281250 seconds, Private Bytes: 31420416, Working Set: 52363264"
"01:51:53.8147840","LightingService.exe","6180","Process Profiling","","SUCCESS","User Time: 9.1250000 seconds, Kernel Time: 10.8281250 seconds, Private Bytes: 31420416, Working Set: 52363264"
"01:51:54.8155978","LightingService.exe","6180","Process Profiling","","SUCCESS","User Time: 9.1250000 seconds, Kernel Time: 10.8281250 seconds, Private Bytes: 31420416, Working Set: 52363264"
